ticker,trades,win_rate,avg_r,profit_factor,avg_or_range_pct,avg_rvol,eod_pct
WMT,2,100.0,0.71,999.0,0.97,0.81,100.0
AAOI,11,72.7,0.615,4.28,5.13,1.8,54.5
VG,2,100.0,0.505,999.0,5.59,1.19,50.0
AMD,2,100.0,0.435,999.0,1.9,1.02,100.0
QQQ,3,66.7,0.35,2.01,0.5,1.07,66.7
NVDA,4,50.0,0.295,2.05,1.07,1.02,75.0
FSLY,9,55.6,0.26,1.75,5.71,1.3,44.4
HYMC,12,58.3,0.218,1.66,6.86,1.35,50.0
BAC,2,50.0,0.175,1.54,1.37,0.72,50.0
SPY,6,50.0,0.163,1.39,0.37,1.0,33.3
MSFT,3,66.7,0.147,3.0,0.96,0.77,100.0
PBF,3,66.7,0.04,1.12,3.0,1.6,33.3
AXTI,12,33.3,0.02,1.09,9.16,1.17,75.0
GLD,2,50.0,-0.01,0.98,0.57,1.98,0.0
CMCSA,4,50.0,-0.188,0.42,2.13,0.99,75.0
PYPL,7,28.6,-0.244,0.38,2.07,1.19,85.7
OXY,10,30.0,-0.324,0.27,1.76,1.14,60.0
LYB,8,25.0,-0.342,0.31,2.91,1.19,62.5
MSTR,2,0.0,-0.53,0.0,2.86,1.54,50.0
ORCL,3,0.0,-0.67,0.0,2.86,1.18,66.7
