or_min,or_max,trades,win_rate,avg_r,total_r,delta_total_r,delta_trades,delta_avg_r
0.3,99.0,581,33.7,0.015,8.99,0.0,0,0.0
0.1,99.0,581,33.7,0.015,8.99,0.0,0,0.0
0.0,99.0,581,33.7,0.015,8.99,0.0,0,0.0
0.5,99.0,581,33.7,0.015,8.99,0.0,0,0.0
0.2,99.0,581,33.7,0.015,8.99,0.0,0,0.0
0.1,3.0,130,33.1,0.039,5.08,-3.91,-451,0.024
0.5,3.0,130,33.1,0.039,5.08,-3.91,-451,0.024
0.3,3.0,130,33.1,0.039,5.08,-3.91,-451,0.024
0.2,3.0,130,33.1,0.039,5.08,-3.91,-451,0.024
0.0,3.0,130,33.1,0.039,5.08,-3.91,-451,0.024
0.0,1.5,13,23.1,-0.308,-4.0,-12.99,-568,-0.323
0.1,1.5,13,23.1,-0.308,-4.0,-12.99,-568,-0.323
0.2,1.5,13,23.1,-0.308,-4.0,-12.99,-568,-0.323
0.5,1.5,13,23.1,-0.308,-4.0,-12.99,-568,-0.323
0.3,1.5,13,23.1,-0.308,-4.0,-12.99,-568,-0.323
0.5,2.5,86,30.2,-0.079,-6.83,-15.82,-495,-0.094
0.0,2.5,86,30.2,-0.079,-6.83,-15.82,-495,-0.094
0.2,2.5,86,30.2,-0.079,-6.83,-15.82,-495,-0.094
0.1,2.5,86,30.2,-0.079,-6.83,-15.82,-495,-0.094
0.3,2.5,86,30.2,-0.079,-6.83,-15.82,-495,-0.094
0.0,2.0,43,25.6,-0.233,-10.0,-18.99,-538,-0.248
0.3,2.0,43,25.6,-0.233,-10.0,-18.99,-538,-0.248
0.5,2.0,43,25.6,-0.233,-10.0,-18.99,-538,-0.248
0.2,2.0,43,25.6,-0.233,-10.0,-18.99,-538,-0.248
0.1,2.0,43,25.6,-0.233,-10.0,-18.99,-538,-0.248
0.0,4.0,209,28.2,-0.128,-26.78,-35.77,-372,-0.143
0.2,4.0,209,28.2,-0.128,-26.78,-35.77,-372,-0.143
0.5,4.0,209,28.2,-0.128,-26.78,-35.77,-372,-0.143
0.3,4.0,209,28.2,-0.128,-26.78,-35.77,-372,-0.143
0.1,4.0,209,28.2,-0.128,-26.78,-35.77,-372,-0.143
0.0,5.0,281,28.8,-0.111,-31.31,-40.3,-300,-0.126
0.1,5.0,281,28.8,-0.111,-31.31,-40.3,-300,-0.126
0.2,5.0,281,28.8,-0.111,-31.31,-40.3,-300,-0.126
0.3,5.0,281,28.8,-0.111,-31.31,-40.3,-300,-0.126
0.5,5.0,281,28.8,-0.111,-31.31,-40.3,-300,-0.126
