or_min,or_max,trades,win_rate,avg_r,total_r,delta_total_r,delta_trades
0.1,99.0,37,73.0,0.52,19.23,14.01,22
0.0,99.0,37,73.0,0.52,19.23,14.01,22
0.2,99.0,37,73.0,0.52,19.23,14.01,22
0.3,99.0,36,72.2,0.493,17.75,12.53,21
0.5,99.0,34,70.6,0.461,15.68,10.46,19
0.2,5.0,26,73.1,0.472,12.26,7.04,11
0.1,5.0,26,73.1,0.472,12.26,7.04,11
0.0,5.0,26,73.1,0.472,12.26,7.04,11
0.3,5.0,25,72.0,0.431,10.78,5.56,10
0.0,4.0,19,78.9,0.462,8.77,3.55,4
0.2,4.0,19,78.9,0.462,8.77,3.55,4
0.1,4.0,19,78.9,0.462,8.77,3.55,4
0.5,5.0,23,69.6,0.379,8.71,3.49,8
0.3,4.0,18,77.8,0.405,7.29,2.07,3
0.2,2.5,14,78.6,0.376,5.27,0.05,-1
0.0,2.5,14,78.6,0.376,5.27,0.05,-1
0.1,2.5,14,78.6,0.376,5.27,0.05,-1
0.5,4.0,16,75.0,0.326,5.22,0.0,1
0.2,3.0,15,73.3,0.348,5.22,0.0,0
0.0,3.0,15,73.3,0.348,5.22,0.0,0
0.1,3.0,15,73.3,0.348,5.22,0.0,0
0.3,2.5,13,76.9,0.292,3.79,-1.43,-2
0.3,3.0,14,71.4,0.267,3.74,-1.48,-1
0.0,2.0,10,70.0,0.337,3.37,-1.85,-5
0.1,2.0,10,70.0,0.337,3.37,-1.85,-5
0.2,2.0,10,70.0,0.337,3.37,-1.85,-5
0.3,2.0,9,66.7,0.21,1.89,-3.33,-6
0.5,2.5,11,72.7,0.156,1.72,-3.5,-4
0.5,3.0,12,66.7,0.139,1.67,-3.55,-3
0.0,1.5,7,57.1,0.216,1.51,-3.71,-8
0.2,1.5,7,57.1,0.216,1.51,-3.71,-8
0.1,1.5,7,57.1,0.216,1.51,-3.71,-8
0.3,1.5,6,50.0,0.005,0.03,-5.19,-9
0.5,2.0,7,57.1,-0.026,-0.18,-5.4,-8
